2017-10-08 13:37:08,914 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Web\src\main\resources
2017-10-08 13:37:08,915 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:37:08,916 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Web\src\test\resources
2017-10-08 13:37:08,917 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Project2V10Web
2017-10-08 13:37:08,917 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Project2V10Web
2017-10-08 13:37:08,922 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:15,842 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: Project2V10EJB:Project2V10EJB:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10EJB\pom.xml.
2017-10-08 13:40:17,399 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10EJB/ejbModule
2017-10-08 13:40:17,399 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Project2V10EJB/ejbModule overlaps with sources folder /Project2V10EJB/ejbModule
2017-10-08 13:40:17,410 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10EJB/src/test/java
2017-10-08 13:40:17,654 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:17,671 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:40:17,683 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
